title,title_detail,summary,summary_detail,links,link,id,guidislink,tags,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Cyclone Michaung leaves a trail of destruction in its wake in Bapatla, Guntur districts","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Cyclone Michaung leaves a trail of destruction in its wake in Bapatla, Guntur districts'}",Heavy rains take a toll on road connectivity; many acres of standing crops have been inundated; power supply disrupted in many areas after electric poles get uprooted due to strong gales,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Heavy rains take a toll on road connectivity; many acres of standing crops have been inundated; power supply disrupted in many areas after electric poles get uprooted due to strong gales'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/cyclone-michaung-leaves-a-trail-of-destruction-in-its-wake-in-bapatla-guntur-districts/article67607915.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/cyclone-michaung-leaves-a-trail-of-destruction-in-its-wake-in-bapatla-guntur-districts/article67607915.ece,article-67607915,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 20:30:59 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=15, tm_min=0, tm_sec=59, tm_wday=1, tm_yday=339, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/kt9485/article67608270.ece/alternates/LANDSCAPE_1200/10745_5_12_2023_15_46_26_2_DSC_5768.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Crimes against women and children rise in Andhra Pradesh in 2022, says NCRB data","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Crimes against women and children rise in Andhra Pradesh in 2022, says NCRB data'}","The State registers 25,503 cases of crime against women in 2022, as against 17,752 in 2021 and 17,089 in 2020; when it comes to cybercrimes, the State stands fifth in the country with 2,341 cases","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'The State registers 25,503 cases of crime against women in 2022, as against 17,752 in 2021 and 17,089 in 2020; when it comes to cybercrimes, the State stands fifth in the country with 2,341 cases'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/crimes-against-women-and-children-rise-in-andhra-pradesh-in-2022-says-ncrb-data/article67607773.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/crimes-against-women-and-children-rise-in-andhra-pradesh-in-2022-says-ncrb-data/article67607773.ece,article-67607773,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 20:27:56 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=14, tm_min=57, tm_sec=56, tm_wday=1, tm_yday=339, tm_isdst=0)",,The Hindu,States,,,,2024-10-04 11:13:01.425464
Congress announces Revanth Reddy as CM of Telangana,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Congress announces Revanth Reddy as CM of Telangana'}",The State party chief was named as Congress central leadership’s choice for the CLP chief on the basis of a report submitted by party observers; he will take oath as CM on December 7,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'The State party chief was named as Congress central leadership’s choice for the CLP chief on the basis of a report submitted by party observers; he will take oath as CM on December 7'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/elections/telangana-assembly/revanth-reddy-is-the-new-chief-minister-of-telangana/article67608096.ece'}]",https://www.thehindu.com/elections/telangana-assembly/revanth-reddy-is-the-new-chief-minister-of-telangana/article67608096.ece,article-67608096,False,"[{'term': 'Telangana Assembly', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 19:52:56 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=14, tm_min=22, tm_sec=56, tm_wday=1, tm_yday=339, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/bcol5/article67609805.ece/alternates/LANDSCAPE_1200/15hyngg_A%20Revanth%20Reddy%2004.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Cyclone Michaung | Death toll rises to seven in Chennai and neighbouring districts; over 61,600 moved to relief camps","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Cyclone Michaung | Death toll rises to seven in Chennai and neighbouring districts; over 61,600 moved to relief camps'}",Additional workforce is being sourced from neighbouring districts to undertake relief operations in Chennai and three neighbouring districts on war footing,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Additional workforce is being sourced from neighbouring districts to undertake relief operations in Chennai and three neighbouring districts on war footing'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/chennai/cyclone-michaung-death-toll-rises-to-seven-in-chennai-and-neighbouring-districts-over-61600-moved-to-relief-camps/article67607874.ece'}]",https://www.thehindu.com/news/cities/chennai/cyclone-michaung-death-toll-rises-to-seven-in-chennai-and-neighbouring-districts-over-61600-moved-to-relief-camps/article67607874.ece,article-67607874,False,"[{'term': 'Chennai', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 19:49:52 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=14, tm_min=19, tm_sec=52, tm_wday=1, tm_yday=339, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/8kupuv/article67608073.ece/alternates/LANDSCAPE_1200/0J3A8190.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Severe cyclone Michaung makes landfall in Andhra Pradesh, wreaks havoc","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Severe cyclone Michaung makes landfall in Andhra Pradesh, wreaks havoc'}","Heavy rain and high-velocity winds with a maximum sustained speed of 90-100 kmph lash coastal town of Bapatla, villages; three killed in rain-related accidents; power supply affected in many areas; cyclone moving towards north, say officials","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Heavy rain and high-velocity winds with a maximum sustained speed of 90-100 kmph lash coastal town of Bapatla, villages; three killed in rain-related accidents; power supply affected in many areas; cyclone moving towards north, say officials'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/severe-cyclone-michaung-crosses-coast-near-bapatla-throws-life-out-of-gear/article67607428.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/severe-cyclone-michaung-crosses-coast-near-bapatla-throws-life-out-of-gear/article67607428.ece,article-67607428,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 19:17:59 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=13, tm_min=47, tm_sec=59, tm_wday=1, tm_yday=339, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/yxkx8f/article67607862.ece/alternates/LANDSCAPE_1200/10745_5_12_2023_15_56_27_4_DSC_5604.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
"Defying all the impossibilities in politics, Revanth Reddy makes it as Telangana CM","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Defying all the impossibilities in politics, Revanth Reddy makes it as Telangana CM'}","Always willing to take the risk, he started his political career in the Legislature as an independent candidate in the Legislative Council","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Always willing to take the risk, he started his political career in the Legislature as an independent candidate in the Legislative Council'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/profile-defying-all-the-impossibilities-in-politics-revanth-makes-it-as-cm/article67607726.ece'}]",https://www.thehindu.com/news/national/telangana/profile-defying-all-the-impossibilities-in-politics-revanth-makes-it-as-cm/article67607726.ece,article-67607726,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Tue, 05 Dec 2023 19:05:45 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=5, tm_hour=13, tm_min=35, tm_sec=45, tm_wday=1, tm_yday=339, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/vdfrot/article67607839.ece/alternates/LANDSCAPE_1200/DSC_9818.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Telangana Assembly Elections 2023: All Muslim candidates of BRS and Congress trailing | Data,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Telangana Assembly Elections 2023: All Muslim candidates of BRS and Congress trailing | Data'}","Among Muslim candidates fielded by the AIMIM, except two, others were leading","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Among Muslim candidates fielded by the AIMIM, except two, others were leading'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/data/telangana-assembly-elections-2023-all-muslim-candidates-of-brs-and-congress-trailing-data/article67600906.ece'}]",https://www.thehindu.com/data/telangana-assembly-elections-2023-all-muslim-candidates-of-brs-and-congress-trailing-data/article67600906.ece,article-67600906,False,"[{'term': 'Data', 'scheme': None, 'label': None}]","Sun, 03 Dec 2023 15:42:58 +0530","time.struct_time(tm_year=2023, tm_mon=12, tm_mday=3, tm_hour=10, tm_min=12, tm_sec=58, tm_wday=6, tm_yday=337, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/cqvdzf/article67600882.ece/alternates/LANDSCAPE_1200/DSC_8881.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Jammu and Kashmir UT faces 30 days worth of power cuts in a year | Data,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Jammu and Kashmir UT faces 30 days worth of power cuts in a year | Data'}","In both the duration and number of power outages, the Union Territory’s numbers are relatively far higher","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'In both the duration and number of power outages, the Union Territory’s numbers are relatively far higher'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/data/jammu-and-kashmir-ut-faces-30-days-worth-of-power-cuts-in-a-year-data/article67582790.ece'}]",https://www.thehindu.com/data/jammu-and-kashmir-ut-faces-30-days-worth-of-power-cuts-in-a-year-data/article67582790.ece,article-67582790,False,"[{'term': 'Data', 'scheme': None, 'label': None}]","Wed, 29 Nov 2023 09:30:00 +0530","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=29, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=333, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/ejk7gc/article67582822.ece/alternates/LANDSCAPE_1200/6751_15-1-2017_13-18-36_11-WEATHER-SGR-15-01-2017.JPG', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Watch | Maratha reservation stir | What are its implications of the OBC backlash?,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Watch | Maratha reservation stir | What are its implications of the OBC backlash?'}","In this episode of Talking Politics, we discuss the implications of the OBC backlash over the Maratha reservation stir and its impact on the domestic politics of the state.","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'In this episode of Talking Politics, we discuss the implications of the OBC backlash over the Maratha reservation stir and its impact on the domestic politics of the state.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/watch-maratha-reservation-stir-what-are-its-implications-of-the-obc-backlash/article67576436.ece'}]",https://www.thehindu.com/news/national/watch-maratha-reservation-stir-what-are-its-implications-of-the-obc-backlash/article67576436.ece,article-67576436,False,"[{'term': 'India', 'scheme': None, 'label': None}]","Sun, 26 Nov 2023 18:17:33 +0530","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=26, tm_hour=12, tm_min=47, tm_sec=33, tm_wday=6, tm_yday=330, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/957hu8/article67576418.ece/alternates/LANDSCAPE_1200/Nistula%20Thumb%202.png', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
Rajasthan lags behind in women empowerment and economic measures | Data,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'Rajasthan lags behind in women empowerment and economic measures | Data'}",The poll-bound State shows significant progress in some other social measures,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/states/feeder/default.rss', 'value': 'The poll-bound State shows significant progress in some other social measures'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/data/rajasthan-lags-behind-in-women-empowerment-and-economic-measures/article67537372.ece'}]",https://www.thehindu.com/data/rajasthan-lags-behind-in-women-empowerment-and-economic-measures/article67537372.ece,article-67537372,False,"[{'term': 'Data', 'scheme': None, 'label': None}]","Sat, 18 Nov 2023 17:30:00 +0530","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=18, tm_hour=12, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=322, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/incoming/kxjrxn/article67544087.ece/alternates/LANDSCAPE_1200/PTI11_07_2023_000500A.jpg', 'width': '1200'}]",The Hindu,States,,,,2024-10-04 11:13:01.425464
