title,title_detail,links,link,id,guidislink,summary,summary_detail,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"पंजाब के कारोबारी सांसद के घर रहेंगे केजरीवाल:LPU के संस्थापक चांसलर हैं अशोक मित्तल, दिल्ली के पूर्व CM ने स्वीकारा आमंत्रण","{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-7140.xml', 'value': 'पंजाब के कारोबारी सांसद के घर रहेंगे केजरीवाल:LPU के संस्थापक चांसलर हैं अशोक मित्तल, दिल्ली के पूर्व CM ने स्वीकारा आमंत्रण'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/local/punjab/jalandhar/news/aap-supremo-arvind-kejriwal-will-stay-at-punjab-mp-ashok-mittla-delhi-house-133747213.html'}, {'href': 'https://www.bhaskar.com/local/punjab/jalandhar/news/aap-supremo-arvind-kejriwal-will-stay-at-punjab-mp-ashok-mittla-delhi-house-133747213.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/local/punjab/jalandhar/news/aap-supremo-arvind-kejriwal-will-stay-at-punjab-mp-ashok-mittla-delhi-house-133747213.html,https://www.bhaskar.com/local/punjab/jalandhar/news/aap-supremo-arvind-kejriwal-will-stay-at-punjab-mp-ashok-mittla-delhi-house-133747213.html,False,"आम आदमी पार्टी के सुप्रीमो और दिल्ली के पूर्व मुख्यमंत्री अरविंद केजरीवाल दिल्ली में पंजाब आप के राज्यसभा सांसद अशोक मित्तल के घर पर रुकेंगे। इस बारे में पंजाब से राज्यसभा सांसद और फगवाड़ा स्थित लवली प्रोफेशनल यूनिवर्सिटी के मालिक अशोक मित्तल ने समाचार एजेंसी एएनआई से बात करते हुए इस बारे में जानकारी साझा की। उन्होंने कहा- मैंने दिल्ली के पूर्व मुख्यमंत्री अरविंद केजरीवाल को दिल्ली में अपने घर पर रहने के लिए आमंत्रित किया था। उन्होंने मेरा निमंत्रण स्वीकार कर लिया और वह अब दिल्ली में मेरे घर पर रह रहे हैं, मैं बहुत खुश हूं। आप सांसद मित्तल बोले- मुझे खुशी है की केजरीवाल ने मेरा घर चुनाव  आप सांसद अशोक मित्तल ने कहा- जब अरविंद केजरीवाल ने कुछ दिन पहले सीएम पद से इस्तीफा दिया, तो मुझे कुछ समय बाद पता चला कि उनके पास रहने के लिए घर नहीं है। मैंने उन्हें अपने दिल्ली वाले घर में मेहमान के तौर पर रहने के लिए आमंत्रित किया। शायद पार्टी के अन्य कार्यकर्ताओं और नेताओं ने भी उन्हें आमंत्रित किया हो। आगे अशोक मित्तल ने कहा- मुझे यह जानकर खुशी हुई कि उन्होंने मेरा घर चुना है और घर मिलने तक मेरे साथ रहने का फैसला किया है। इसलिए, एक आप कार्यकर्ता और सांसद के तौर पर यह मेरे लिए खुशी की बात है। मुझे उनसे सीखने का मौका मिलेगा। मुझे उम्मीद है कि आने वाले दिल्ली चुनाव में जनता हमेशा की तरह उनका समर्थन करेगी और वह पूर्ण बहुमत के साथ एक बार फिर दिल्ली के सीएम बनेंगे। लुटियंस दिल्ली के फिरोजशाह रोड पर रहेंगे केजरीवाल  बता दें कि दिल्ली के पूर्व मुख्यमंत्री और आम आदमी पार्टी के सुप्रीमों द्वारा इस्तीफा देने के बाद उन्हें अपना सरकारी आवास खाली करना था। सरकारी आवास खाली करने के बाद वह रहने के लिए घर तलाश रहे थे। ऐसे में उन्होंने लुटियंस दिल्ली के फिरोजशाह रोड स्थित बंगला नंबर पांच में रहने का फैसला किया। जो कि अशोक मित्तल का है। अशोक मित्तल पंजाब के सबसे कारोबारियों में से एक हैं और वह आप के राज्यसभा सांसद भी हैं।","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-7140.xml', 'value': 'आम आदमी पार्टी के सुप्रीमो और दिल्ली के पूर्व मुख्यमंत्री अरविंद केजरीवाल दिल्ली में पंजाब आप के राज्यसभा सांसद अशोक मित्तल के घर पर रुकेंगे। इस बारे में पंजाब से राज्यसभा सांसद और फगवाड़ा स्थित लवली प्रोफेशनल यूनिवर्सिटी के मालिक अशोक मित्तल ने समाचार एजेंसी एएनआई से बात करते हुए इस बारे में जानकारी साझा की। उन्होंने कहा- मैंने दिल्ली के पूर्व मुख्यमंत्री अरविंद केजरीवाल को दिल्ली में अपने घर पर रहने के लिए आमंत्रित किया था। उन्होंने मेरा निमंत्रण स्वीकार कर लिया और वह अब दिल्ली में मेरे घर पर रह रहे हैं, मैं बहुत खुश हूं। आप सांसद मित्तल बोले- मुझे खुशी है की केजरीवाल ने मेरा घर चुनाव  आप सांसद अशोक मित्तल ने कहा- जब अरविंद केजरीवाल ने कुछ दिन पहले सीएम पद से इस्तीफा दिया, तो मुझे कुछ समय बाद पता चला कि उनके पास रहने के लिए घर नहीं है। मैंने उन्हें अपने दिल्ली वाले घर में मेहमान के तौर पर रहने के लिए आमंत्रित किया। शायद पार्टी के अन्य कार्यकर्ताओं और नेताओं ने भी उन्हें आमंत्रित किया हो। आगे अशोक मित्तल ने कहा- मुझे यह जानकर खुशी हुई कि उन्होंने मेरा घर चुना है और घर मिलने तक मेरे साथ रहने का फैसला किया है। इसलिए, एक आप कार्यकर्ता और सांसद के तौर पर यह मेरे लिए खुशी की बात है। मुझे उनसे सीखने का मौका मिलेगा। मुझे उम्मीद है कि आने वाले दिल्ली चुनाव में जनता हमेशा की तरह उनका समर्थन करेगी और वह पूर्ण बहुमत के साथ एक बार फिर दिल्ली के सीएम बनेंगे। लुटियंस दिल्ली के फिरोजशाह रोड पर रहेंगे केजरीवाल  बता दें कि दिल्ली के पूर्व मुख्यमंत्री और आम आदमी पार्टी के सुप्रीमों द्वारा इस्तीफा देने के बाद उन्हें अपना सरकारी आवास खाली करना था। सरकारी आवास खाली करने के बाद वह रहने के लिए घर तलाश रहे थे। ऐसे में उन्होंने लुटियंस दिल्ली के फिरोजशाह रोड स्थित बंगला नंबर पांच में रहने का फैसला किया। जो कि अशोक मित्तल का है। अशोक मित्तल पंजाब के सबसे कारोबारियों में से एक हैं और वह आप के राज्यसभा सांसद भी हैं।'}","Fri, 04 Oct 2024 04:58:36 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=4, tm_min=58, tm_sec=36, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/04/ezgif-2-58a9b428f0_1728017812.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,New Delhi,,,,2024-10-04 11:13:10.091470
"मॉर्निंग न्यूज ब्रीफ:केंद्र मैरिटल रेप को अपराध बनाने के खिलाफ; शेयर बाजार गिरा, भारतीय निवेशकों के ₹10 लाख करोड़ डूबे; सोना ऑल टाइम हाई","{'type': 'text/plain', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-7140.xml', 'value': 'मॉर्निंग न्यूज ब्रीफ:केंद्र मैरिटल रेप को अपराध बनाने के खिलाफ; शेयर बाजार गिरा, भारतीय निवेशकों के ₹10 लाख करोड़ डूबे; सोना ऑल टाइम हाई'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.bhaskar.com/national/news/dainik-bhaskar-morning-news-centre-on-criminalising-marital-rape-rs-10-lakh-crore-wiped-out-as-sensex-133744020.html'}, {'href': 'https://www.bhaskar.com/national/news/dainik-bhaskar-morning-news-centre-on-criminalising-marital-rape-rs-10-lakh-crore-wiped-out-as-sensex-133744020.html', 'rel': 'alternate', 'type': 'text/html'}]",https://www.bhaskar.com/national/news/dainik-bhaskar-morning-news-centre-on-criminalising-marital-rape-rs-10-lakh-crore-wiped-out-as-sensex-133744020.html,https://www.bhaskar.com/national/news/dainik-bhaskar-morning-news-centre-on-criminalising-marital-rape-rs-10-lakh-crore-wiped-out-as-sensex-133744020.html,False,"नमस्कार, कल की बड़ी खबर मैरिटल रेप से जुड़ी रही, इसके खिलाफ दाखिल याचिका पर सुनवाई के दौरान केंद्र सरकार ने जवाब दाखिल किया है। एक खबर शेयर बाजार में हुई गिरावट से जुड़ी रही। लेकिन कल की बड़ी खबरों से पहले आज के प्रमुख इवेंट्स, जिन पर रहेगी नजर... अब कल की बड़ी खबरें... 1. केंद्र सरकार मैरिटल रेप को अपराध बनाने के खिलाफ, सुप्रीम कोर्ट से कहा- ये आपके अधिकार क्षेत्र में नहीं आता केंद्र सरकार ने सुप्रीम कोर्ट में दाखिल हलफनामे में कहा कि मैरिटल रेप को अपराध घोषित करने की जरूरत नहीं है, कानून में इसके लिए कई सजाएं मौजूद हैं। सरकार ने कहा, ‘यह मुद्दा कानूनी नहीं, बल्कि सामाजिक है। इसे अपराध घोषित करना सुप्रीम कोर्ट के अधिकार क्षेत्र में नहीं आता। सभी स्टेकहोल्डर्स से चर्चा किए बिना इस मुद्दे पर कोई फैसला नहीं लिया जा सकता।’ मैरिटल रेप क्या है: पत्नी की इजाजत के बिना पति द्वारा जबरन शारीरिक संबंध बनाने को मैरिटल रेप कहा जाता है। मैरिटल रेप को पत्नी के खिलाफ एक तरह की घरेलू हिंसा और यौन उत्पीड़न माना जाता है। भारत में मैरिटल रेप को अपराध नहीं माना जाता है। इसे अपराध घोषित करने और नया कानून बनाने की मांग को लेकर सुप्रीम कोर्ट में याचिकाएं लगाई गई हैं।
पूरी खबर यहां पढ़ें... 2. अयोध्या में राम मंदिर का शिखर बनना शुरू, मंदिर 161 फीट ऊंचा होगा, 44 फीट की धर्म ध्वजा लगेगी अयोध्या में राम मंदिर का शिखर बनना शुरू हो गया है। इसे पूरा होने में 120 दिन लगेंगे, जिसके बाद मंदिर की कुल ऊंचाई 161 फीट हो जाएगी। शिखर के धर्म ध्वजा की ऊंचाई 44 फीट होगी। इस कंस्ट्रक्शन से दर्शन व्यवस्था पर कोई असर नहीं पड़ेगा, श्रद्धालु पहले की ही तरह रामलला के दर्शन कर सकेंगे। 22 जनवरी को प्राण प्रतिष्ठा के बाद 2 करोड़ से ज्यादा भक्त दर्शन कर चुके हैं। 1500 वर्कर शिखर बनाने के काम में लगे: श्रीराम जन्मभूमि तीर्थ क्षेत्र ट्रस्ट के मुताबिक, दिसंबर-2024 तक मंदिर के सभी काम पूरे करने का टारगेट है। मंदिर बना रही कंपनी LT ने योजना तैयार की है। शिखर बनाने में फिलहाल 1500 वर्कर लगे हैं। ये राजस्थान, गुजरात, बिहार और उत्तर प्रदेश के हैं।
पूरी खबर यहां पढ़ें... 3. भारत में निवेशकों के ₹10 लाख करोड़ डूबे, सेंसेक्स 1,769 अंक और निफ्टी 546 अंक फिसला
भारतीय शेयर बाजार में 3 अक्टूबर को साल की चौथी बड़ी गिरावट हुई। सेंसेक्स 1,769 अंक (2.10%) की गिरावट के साथ 82,497 और निफ्टी 546 अंक (2.12%) की गिरावट के साथ 25,250 पर बंद हुआ। शेयर बाजार में बिकवाली से निवेशकों की वेल्थ 10.7 लाख करोड़ रुपए घट गई। 3 अक्टूबर को BSE पर लिस्टेड कंपनियों का ओवरऑल मार्केट कैप ₹465 लाख करोड़ रह गया। 1 सितंबर को यह लगभग ₹475 लाख करोड़ था। बाजार में गिरावट के 3 कारण... पूरी खबर यहां पढ़ें... 4. ₹75,762 के ऑल टाइम हाई पर सोना, चांदी ₹1,048 बढ़कर ₹90,930 प्रति किलो हुई 10 ग्राम सोने की कीमत 274 रुपए बढ़कर 75,762 रुपए हो गई है। यह ऑल टाइम हाई है। वहीं चांदी 1,048 रुपए बढ़कर 90,930 रुपए प्रति किलो हो गई है। इस साल सोना 78 हजार रुपए प्रति 10 ग्राम, जबकि चांदी 1 लाख रुपए प्रति किलोग्राम तक पहुंच सकती है। पूरी खबर यहां पढ़ें... 5. केंद्रीय कैबिनेट का फैसला: 12 लाख रेलवे कर्मचारियों को 78 दिनों का बोनस, किसानों की 2 योजनाओं के लिए एक लाख करोड़ मंजूर
दिवाली के पहले रेलवे के 11,72,240 कर्मचारियों को 78 दिनों का बोनस मिलेगा। यह फैसला केंद्रीय कैबिनेट की बैठक में लिया गया। केंद्रीय अश्विनी वैष्णव ने बताया, 'सरकार ने रेलवे कर्मचारियों के लिए 2029 करोड़ रुपए के प्रोडक्टिविटी लिंक्ड बोनस को मंजूरी दी है। प्रधानमंत्री-राष्ट्रीय कृषि विकास योजना (PM-RKVY) और कृषोन्नति योजना को भी मंजूरी दी है। इसके लिए 1,01,321 करोड़ रुपए खर्च किए जाएंगे।' कैबिनेट बैठक के 4 बड़े फैसले... पूरी खबर यहां पढ़ें... 6. हरियाणा में भाजपा को झटका, अशोक तंवर कांग्रेस में शामिल हुए, इनकी 9 सीटों पर पकड़ हरियाणा विधानसभा चुनाव के बीच भाजपा नेता और पूर्व सांसद अशोक तंवर कांग्रेस में शामिल हो गए। कांग्रेस की महेंद्रगढ़ रैली में राहुल गांधी ने उन्हें पार्टी जॉइन कराई। इस दौरान पूर्व CM भूपेंद्र हुड्‌डा भी मौजूद रहे, लेकिन उन्होंने दूर से ही उन्हें नमस्ते किया। तंवर ने 5 साल पहले हुड्‌डा से मतभेद के बाद ही कांग्रेस छोड़ी थी। SC समुदाय से आने वाले तंवर का 9 सीटों पर असर है। इनमें सिरसा, फतेहाबाद, ऐलनाबाद, रानियां, कालांवाली, डबवाली, रतिया, टोहाना और नरवाना शामिल हैं। 5 साल में 4 पार्टियां बदलीं, अपनी पार्टी भी बनाई थी: तंवर कांग्रेस छोड़ने के बाद TMC और AAP में भी रहे। लोकसभा चुनाव के पहले 20 जनवरी को भाजपा में शामिल हुए थे। इस तरह 5 साल में चार पार्टियां बदलीं। 2019 में कांग्रेस छोड़ने के बाद अपना भारत मोर्चा नाम से पार्टी भी बनाई थी।
पूरी खबर यहां पढ़ें... 7. नागार्जुन ने तेलंगाना की मिनिस्टर पर मानहानि का केस किया, कोंडा सुरेखा ने कहा था- एक्टर के बेटे-बहू नागा-सामंथा के तलाक की वजह ब्लैकमेलिंग साउथ के एक्टर नागार्जुन ने तेलंगाना की मंत्री कोंडा सुरेखा के खिलाफ मानहानि का मुकदमा दर्ज कराया है। सुरेखा ने नागार्जुन के बेटे नागा चैतन्य और सामंथा रुथ प्रभु के तलाक पर बयान दिया था। कोंडा सुरेखा ने भारत राष्ट्र समिति (BRS) के लीडर केटी रामा राव के खिलाफ दिए बयान में कहा था- ​​​​ केटीआर को हीरोइनों का शोषण करने की आदत है। उन्होंने कई एक्ट्रेसेस के साथ रेव पार्टी की, उन्हें ड्रग्स की आदत लगा दी और फिर उन्हें ब्लैकमेल किया। नागा और सामंथा के तलाक का कारण यही है। उन्होंने दोनों के फोन टैप किए थे। उनकी वजह से कई हीरोइन जल्दी शादी करके सिनेमा सेक्टर से बाहर निकल जाती हैं। मिनिस्टर से माफी मांगी: विवाद बढ़ने के बाद मिनिस्टर कोंडा सुरेखा ने आज सामंथा से माफी मांग ली। उन्होंने सोशल मीडिया पर लिखा, 'मैंने एक नेता के महिलाओं को अपमानित करने पर सवाल उठाते हुए कमेंट किया था। सामंथा, यह बयान आपकी भावनाओं को ठेस पहुंचाने के लिए नहीं था।'
पूरी खबर यहां पढ़ें... 8. हिजबुल्लाह चीफ के दामाद की मौत का दावा, लेबनान ने इजराइल पर 200 रॉकेट से हमला किया इजराइल ने हिजबुल्लाह चीफ हसन नसरल्लाह के दामाद हसन जाफर अल-कासिर के मारे जाने का दावा किया है। लेबनान ने इजराइल पर 200 से ज्यादा रॉकेट और ड्रोन दागे। ये लेबनान की पहली जवाबी कार्रवाई है। इस बीच अमेरिकी राष्ट्रपति जो बाइडेन से पूछा गया कि क्या वे ईरान के ऑयल रिजर्व पर इजराइली स्ट्राइक का समर्थन करते हैं। उन्होंने कहा कि इस मुद्दे पर हमारी बातचीत जारी है। बाइडेन ने ईरान के परमाणु ठिकानों पर इजराइली हमले का समर्थन करने से इनकार किया है। हिजबुल्लाह चीफ आज होगा सुपुर्द-ए-खाक: हिजबुल्लाह चीफ हसन नसरल्लाह का आज अंतिम संस्कार किया जाएगा। रिपोर्ट्स के मुताबिक उस इराक के कर्बला में सुपुर्द-ए-खाक किया जा सकता है। 27 सितंबर को हुई इजराइली एयरस्ट्राइक में उसकी मौत हुई थी। दो दिन बाद उसकी डेडबॉडी मिली थी। वह 32 साल (1992) से हिजबुल्लाह का चीफ था।
पूरी खबर यहां पढ़ें... आज का कार्टून By इस्माइल लहरी ... कुछ अहम खबरें हेडलाइन में… अब खबर हटके... पहली बार कैंसर वॉरियर्स का गरबा गुजरात के राजकोट में 3000 से ज्यादा कैंसर वॉरियर्स और उनके परिजन ने गरबा किया। ऐसा आयोजन देश में पहली बार हुआ। इवेंट में 250 से ज्यादा कैंसर स्पेशलिस्ट समेत 9 हजार लोग शामिल हुए। इस दौरान 700 से ज्यादा लड़कियों को एंटी कैंसर वैक्सीन लगाई गई।
पढ़ें पूरी खबर... भास्कर की एक्सक्लूसिव स्टोरीज, जो सबसे ज्यादा पढ़ी गईं… इन करेंट अफेयर्स के बारे में विस्तार से पढ़ने के लिए यहां क्लिक करें..  आपका दिन शुभ हो, पढ़ते रहिए दैनिक भास्कर ऐप… मॉर्निंग न्यूज ब्रीफ को और बेहतर बनाने के लिए हमें आपका फीडबैक चाहिए। इसके लिए यहां क्लिक करें...","{'type': 'text/html', 'language': None, 'base': 'https://www.bhaskar.com/rss-v1--category-7140.xml', 'value': ""नमस्कार, कल की बड़ी खबर मैरिटल रेप से जुड़ी रही, इसके खिलाफ दाखिल याचिका पर सुनवाई के दौरान केंद्र सरकार ने जवाब दाखिल किया है। एक खबर शेयर बाजार में हुई गिरावट से जुड़ी रही। लेकिन कल की बड़ी खबरों से पहले आज के प्रमुख इवेंट्स, जिन पर रहेगी नजर... अब कल की बड़ी खबरें... 1. केंद्र सरकार मैरिटल रेप को अपराध बनाने के खिलाफ, सुप्रीम कोर्ट से कहा- ये आपके अधिकार क्षेत्र में नहीं आता केंद्र सरकार ने सुप्रीम कोर्ट में दाखिल हलफनामे में कहा कि मैरिटल रेप को अपराध घोषित करने की जरूरत नहीं है, कानून में इसके लिए कई सजाएं मौजूद हैं। सरकार ने कहा, ‘यह मुद्दा कानूनी नहीं, बल्कि सामाजिक है। इसे अपराध घोषित करना सुप्रीम कोर्ट के अधिकार क्षेत्र में नहीं आता। सभी स्टेकहोल्डर्स से चर्चा किए बिना इस मुद्दे पर कोई फैसला नहीं लिया जा सकता।’ मैरिटल रेप क्या है: पत्नी की इजाजत के बिना पति द्वारा जबरन शारीरिक संबंध बनाने को मैरिटल रेप कहा जाता है। मैरिटल रेप को पत्नी के खिलाफ एक तरह की घरेलू हिंसा और यौन उत्पीड़न माना जाता है। भारत में मैरिटल रेप को अपराध नहीं माना जाता है। इसे अपराध घोषित करने और नया कानून बनाने की मांग को लेकर सुप्रीम कोर्ट में याचिकाएं लगाई गई हैं।\nपूरी खबर यहां पढ़ें... 2. अयोध्या में राम मंदिर का शिखर बनना शुरू, मंदिर 161 फीट ऊंचा होगा, 44 फीट की धर्म ध्वजा लगेगी अयोध्या में राम मंदिर का शिखर बनना शुरू हो गया है। इसे पूरा होने में 120 दिन लगेंगे, जिसके बाद मंदिर की कुल ऊंचाई 161 फीट हो जाएगी। शिखर के धर्म ध्वजा की ऊंचाई 44 फीट होगी। इस कंस्ट्रक्शन से दर्शन व्यवस्था पर कोई असर नहीं पड़ेगा, श्रद्धालु पहले की ही तरह रामलला के दर्शन कर सकेंगे। 22 जनवरी को प्राण प्रतिष्ठा के बाद 2 करोड़ से ज्यादा भक्त दर्शन कर चुके हैं। 1500 वर्कर शिखर बनाने के काम में लगे: श्रीराम जन्मभूमि तीर्थ क्षेत्र ट्रस्ट के मुताबिक, दिसंबर-2024 तक मंदिर के सभी काम पूरे करने का टारगेट है। मंदिर बना रही कंपनी LT ने योजना तैयार की है। शिखर बनाने में फिलहाल 1500 वर्कर लगे हैं। ये राजस्थान, गुजरात, बिहार और उत्तर प्रदेश के हैं।\nपूरी खबर यहां पढ़ें... 3. भारत में निवेशकों के ₹10 लाख करोड़ डूबे, सेंसेक्स 1,769 अंक और निफ्टी 546 अंक फिसला\nभारतीय शेयर बाजार में 3 अक्टूबर को साल की चौथी बड़ी गिरावट हुई। सेंसेक्स 1,769 अंक (2.10%) की गिरावट के साथ 82,497 और निफ्टी 546 अंक (2.12%) की गिरावट के साथ 25,250 पर बंद हुआ। शेयर बाजार में बिकवाली से निवेशकों की वेल्थ 10.7 लाख करोड़ रुपए घट गई। 3 अक्टूबर को BSE पर लिस्टेड कंपनियों का ओवरऑल मार्केट कैप ₹465 लाख करोड़ रह गया। 1 सितंबर को यह लगभग ₹475 लाख करोड़ था। बाजार में गिरावट के 3 कारण... पूरी खबर यहां पढ़ें... 4. ₹75,762 के ऑल टाइम हाई पर सोना, चांदी ₹1,048 बढ़कर ₹90,930 प्रति किलो हुई 10 ग्राम सोने की कीमत 274 रुपए बढ़कर 75,762 रुपए हो गई है। यह ऑल टाइम हाई है। वहीं चांदी 1,048 रुपए बढ़कर 90,930 रुपए प्रति किलो हो गई है। इस साल सोना 78 हजार रुपए प्रति 10 ग्राम, जबकि चांदी 1 लाख रुपए प्रति किलोग्राम तक पहुंच सकती है। पूरी खबर यहां पढ़ें... 5. केंद्रीय कैबिनेट का फैसला: 12 लाख रेलवे कर्मचारियों को 78 दिनों का बोनस, किसानों की 2 योजनाओं के लिए एक लाख करोड़ मंजूर\nदिवाली के पहले रेलवे के 11,72,240 कर्मचारियों को 78 दिनों का बोनस मिलेगा। यह फैसला केंद्रीय कैबिनेट की बैठक में लिया गया। केंद्रीय अश्विनी वैष्णव ने बताया, 'सरकार ने रेलवे कर्मचारियों के लिए 2029 करोड़ रुपए के प्रोडक्टिविटी लिंक्ड बोनस को मंजूरी दी है। प्रधानमंत्री-राष्ट्रीय कृषि विकास योजना (PM-RKVY) और कृषोन्नति योजना को भी मंजूरी दी है। इसके लिए 1,01,321 करोड़ रुपए खर्च किए जाएंगे।' कैबिनेट बैठक के 4 बड़े फैसले... पूरी खबर यहां पढ़ें... 6. हरियाणा में भाजपा को झटका, अशोक तंवर कांग्रेस में शामिल हुए, इनकी 9 सीटों पर पकड़ हरियाणा विधानसभा चुनाव के बीच भाजपा नेता और पूर्व सांसद अशोक तंवर कांग्रेस में शामिल हो गए। कांग्रेस की महेंद्रगढ़ रैली में राहुल गांधी ने उन्हें पार्टी जॉइन कराई। इस दौरान पूर्व CM भूपेंद्र हुड्\u200cडा भी मौजूद रहे, लेकिन उन्होंने दूर से ही उन्हें नमस्ते किया। तंवर ने 5 साल पहले हुड्\u200cडा से मतभेद के बाद ही कांग्रेस छोड़ी थी। SC समुदाय से आने वाले तंवर का 9 सीटों पर असर है। इनमें सिरसा, फतेहाबाद, ऐलनाबाद, रानियां, कालांवाली, डबवाली, रतिया, टोहाना और नरवाना शामिल हैं। 5 साल में 4 पार्टियां बदलीं, अपनी पार्टी भी बनाई थी: तंवर कांग्रेस छोड़ने के बाद TMC और AAP में भी रहे। लोकसभा चुनाव के पहले 20 जनवरी को भाजपा में शामिल हुए थे। इस तरह 5 साल में चार पार्टियां बदलीं। 2019 में कांग्रेस छोड़ने के बाद अपना भारत मोर्चा नाम से पार्टी भी बनाई थी।\nपूरी खबर यहां पढ़ें... 7. नागार्जुन ने तेलंगाना की मिनिस्टर पर मानहानि का केस किया, कोंडा सुरेखा ने कहा था- एक्टर के बेटे-बहू नागा-सामंथा के तलाक की वजह ब्लैकमेलिंग साउथ के एक्टर नागार्जुन ने तेलंगाना की मंत्री कोंडा सुरेखा के खिलाफ मानहानि का मुकदमा दर्ज कराया है। सुरेखा ने नागार्जुन के बेटे नागा चैतन्य और सामंथा रुथ प्रभु के तलाक पर बयान दिया था। कोंडा सुरेखा ने भारत राष्ट्र समिति (BRS) के लीडर केटी रामा राव के खिलाफ दिए बयान में कहा था- \u200b\u200b\u200b\u200b केटीआर को हीरोइनों का शोषण करने की आदत है। उन्होंने कई एक्ट्रेसेस के साथ रेव पार्टी की, उन्हें ड्रग्स की आदत लगा दी और फिर उन्हें ब्लैकमेल किया। नागा और सामंथा के तलाक का कारण यही है। उन्होंने दोनों के फोन टैप किए थे। उनकी वजह से कई हीरोइन जल्दी शादी करके सिनेमा सेक्टर से बाहर निकल जाती हैं। मिनिस्टर से माफी मांगी: विवाद बढ़ने के बाद मिनिस्टर कोंडा सुरेखा ने आज सामंथा से माफी मांग ली। उन्होंने सोशल मीडिया पर लिखा, 'मैंने एक नेता के महिलाओं को अपमानित करने पर सवाल उठाते हुए कमेंट किया था। सामंथा, यह बयान आपकी भावनाओं को ठेस पहुंचाने के लिए नहीं था।'\nपूरी खबर यहां पढ़ें... 8. हिजबुल्लाह चीफ के दामाद की मौत का दावा, लेबनान ने इजराइल पर 200 रॉकेट से हमला किया इजराइल ने हिजबुल्लाह चीफ हसन नसरल्लाह के दामाद हसन जाफर अल-कासिर के मारे जाने का दावा किया है। लेबनान ने इजराइल पर 200 से ज्यादा रॉकेट और ड्रोन दागे। ये लेबनान की पहली जवाबी कार्रवाई है। इस बीच अमेरिकी राष्ट्रपति जो बाइडेन से पूछा गया कि क्या वे ईरान के ऑयल रिजर्व पर इजराइली स्ट्राइक का समर्थन करते हैं। उन्होंने कहा कि इस मुद्दे पर हमारी बातचीत जारी है। बाइडेन ने ईरान के परमाणु ठिकानों पर इजराइली हमले का समर्थन करने से इनकार किया है। हिजबुल्लाह चीफ आज होगा सुपुर्द-ए-खाक: हिजबुल्लाह चीफ हसन नसरल्लाह का आज अंतिम संस्कार किया जाएगा। रिपोर्ट्स के मुताबिक उस इराक के कर्बला में सुपुर्द-ए-खाक किया जा सकता है। 27 सितंबर को हुई इजराइली एयरस्ट्राइक में उसकी मौत हुई थी। दो दिन बाद उसकी डेडबॉडी मिली थी। वह 32 साल (1992) से हिजबुल्लाह का चीफ था।\nपूरी खबर यहां पढ़ें... आज का कार्टून By इस्माइल लहरी ... कुछ अहम खबरें हेडलाइन में… अब खबर हटके... पहली बार कैंसर वॉरियर्स का गरबा गुजरात के राजकोट में 3000 से ज्यादा कैंसर वॉरियर्स और उनके परिजन ने गरबा किया। ऐसा आयोजन देश में पहली बार हुआ। इवेंट में 250 से ज्यादा कैंसर स्पेशलिस्ट समेत 9 हजार लोग शामिल हुए। इस दौरान 700 से ज्यादा लड़कियों को एंटी कैंसर वैक्सीन लगाई गई।\nपढ़ें पूरी खबर... भास्कर की एक्सक्लूसिव स्टोरीज, जो सबसे ज्यादा पढ़ी गईं… इन करेंट अफेयर्स के बारे में विस्तार से पढ़ने के लिए यहां क्लिक करें..  आपका दिन शुभ हो, पढ़ते रहिए दैनिक भास्कर ऐप… मॉर्निंग न्यूज ब्रीफ को और बेहतर बनाने के लिए हमें आपका फीडबैक चाहिए। इसके लिए यहां क्लिक करें...""}","Thu, 03 Oct 2024 23:20:00 +0000","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=23, tm_min=20, tm_sec=0, tm_wday=3, tm_yday=277, tm_isdst=0)","[{'url': 'https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/10/03/12mnb4-2_1727956174.gif', 'type': 'image/gif', 'width': '1000', 'height': '1000'}]",Dainik Bhaskar,New Delhi,,,,2024-10-04 11:13:10.091470
