title,title_detail,summary,summary_detail,links,link,id,guidislink,tags,published,published_parsed,media_content,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
World Space Week starts today at Bhimavaram,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'World Space Week starts today at Bhimavaram'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/world-space-week-to-start-today-at-bhimavaram/article68718441.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/world-space-week-to-start-today-at-bhimavaram/article68718441.ece,article-68718441,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:54:01 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=24, tm_sec=1, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Bomb threat email to 3 engineering colleges turns out to be hoax,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Bomb threat email to 3 engineering colleges turns out to be hoax'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/bomb-threat-email-to-3-engineering-colleges-turns-out-to-be-hoax/article68718389.ece'}]",https://www.thehindu.com/news/national/karnataka/bomb-threat-email-to-3-engineering-colleges-turns-out-to-be-hoax/article68718389.ece,article-68718389,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:53:53 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=23, tm_sec=53, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
"Meeting with Kharge a courtesy call, says Jarkiholi","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Meeting with Kharge a courtesy call, says Jarkiholi'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/meeting-with-kharge-a-courtesy-call-says-jarkiholi/article68718302.ece'}]",https://www.thehindu.com/news/national/karnataka/meeting-with-kharge-a-courtesy-call-says-jarkiholi/article68718302.ece,article-68718302,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:52:57 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=22, tm_sec=57, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Rescue and Rehabilitation Centre for stray dogs opened in Tiruchi,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Rescue and Rehabilitation Centre for stray dogs opened in Tiruchi'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Tiruchirapalli/rescue-and-rehabilitation-centre-for-stray-dogs-opened-in-tiruchi/article68718442.ece'}]",https://www.thehindu.com/news/cities/Tiruchirapalli/rescue-and-rehabilitation-centre-for-stray-dogs-opened-in-tiruchi/article68718442.ece,article-68718442,False,"[{'term': 'Tiruchirapalli', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:52:25 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=22, tm_sec=25, tm_wday=4, tm_yday=278, tm_isdst=0)","[{'height': '675', 'medium': 'image', 'url': 'https://th-i.thgim.com/public/news/cities/Tiruchirapalli/cvfkm0/article68718403.ece/alternates/LANDSCAPE_1200/PHOTO-2024-10-04-11-08-08%201.jpg', 'width': '1200'}]",The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Labour turns more rewarding for prisoners in Telangana,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Labour turns more rewarding for prisoners in Telangana'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/telangana/labour-turns-more-rewarding-for-prisoners-in-telangana/article68717695.ece'}]",https://www.thehindu.com/news/national/telangana/labour-turns-more-rewarding-for-prisoners-in-telangana/article68717695.ece,article-68717695,False,"[{'term': 'Telangana', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:51:37 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=21, tm_sec=37, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
"Rash, negligent driving caused Vallarpadam accident, finds preliminary probe","{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Rash, negligent driving caused Vallarpadam accident, finds preliminary probe'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/cities/Kochi/rash-negligent-driving-caused-vallarpadam-accident-finds-preliminary-probe/article68717513.ece'}]",https://www.thehindu.com/news/cities/Kochi/rash-negligent-driving-caused-vallarpadam-accident-finds-preliminary-probe/article68717513.ece,article-68717513,False,"[{'term': 'Kochi', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:51:12 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=21, tm_sec=12, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
MUDA scam: Activist Abraham welcomes move to take back sites,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'MUDA scam: Activist Abraham welcomes move to take back sites'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/muda-scam-activist-abraham-welcomes-move-to-take-back-sites/article68718168.ece'}]",https://www.thehindu.com/news/national/karnataka/muda-scam-activist-abraham-welcomes-move-to-take-back-sites/article68718168.ece,article-68718168,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:51:08 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=21, tm_sec=8, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Brahmotsavams off to a spiritual start in Tirumala with ‘Dwajarohanam’,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Brahmotsavams off to a spiritual start in Tirumala with ‘Dwajarohanam’'}","‘Asthanam’ and a grand procession of the processional deity of Lord Malayappa, along with His consorts and ‘parivara devathas’, formed part of the celebrations; vahana sevas commence with ‘Pedda Sesha’ vahanam in the evening","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': '‘Asthanam’ and a grand procession of the processional deity of Lord Malayappa, along with His consorts and ‘parivara devathas’, formed part of the celebrations; vahana sevas commence with ‘Pedda Sesha’ vahanam in the evening'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/andhra-pradesh/brahmotsavams-off-to-a-spiritual-start-in-tirumala-with-dwajarohanam/article68718233.ece'}]",https://www.thehindu.com/news/national/andhra-pradesh/brahmotsavams-off-to-a-spiritual-start-in-tirumala-with-dwajarohanam/article68718233.ece,article-68718233,False,"[{'term': 'Andhra Pradesh', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:48:23 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=18, tm_sec=23, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
CFTRI senior scientist gets Kalpana Chawla award,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'CFTRI senior scientist gets Kalpana Chawla award'}","Pushpa S. Murthy, senior principal scientist and head, plantation products, spices and flavour technology department, CSIR-CFTRI, Mysuru got the award from Siddaramaiah in Bengaluru recently","{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Pushpa S. Murthy, senior principal scientist and head, plantation products, spices and flavour technology department, CSIR-CFTRI, Mysuru got the award from Siddaramaiah in Bengaluru recently'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/karnataka/cftri-senior-scientist-gets-kalpana-chawla-award/article68718126.ece'}]",https://www.thehindu.com/news/national/karnataka/cftri-senior-scientist-gets-kalpana-chawla-award/article68718126.ece,article-68718126,False,"[{'term': 'Karnataka', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:48:11 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=18, tm_sec=11, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
Coffee Board of India extends last date to apply for subsidies to Oct. 7,"{'type': 'text/plain', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': 'Coffee Board of India extends last date to apply for subsidies to Oct. 7'}",,"{'type': 'text/html', 'language': None, 'base': 'https://www.thehindu.com/news/national/feeder/default.rss', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.thehindu.com/news/national/kerala/coffee-board-of-india-extends-last-date-to-apply-for-subsidies-to-oct-7/article68718027.ece'}]",https://www.thehindu.com/news/national/kerala/coffee-board-of-india-extends-last-date-to-apply-for-subsidies-to-oct-7/article68718027.ece,article-68718027,False,"[{'term': 'Kerala', 'scheme': None, 'label': None}]","Fri, 04 Oct 2024 19:47:31 +0530","time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=17, tm_sec=31, tm_wday=4, tm_yday=278, tm_isdst=0)",,The Hindu,National,English ,https://x.com/the_hindu,https://www.facebook.com/thehindu,2024-10-04 11:13:02.697777
