title,author,date,summary,link
"राजस्थान में दलित युवती के साथ अभद्रता, मदद की गुहार लगाने पर मुँह में भरा गोबर",Shabnam,"दिसम्बर 27, 2021",राजस्थान में अनुसूचित जाति की एक युवती के साथ अभद्र व्यवहार करने व उसके कपड़े फाड़ने और मारपीट करने का मामला सामने आया है। मारपीट […],https://dalittimes.in/indecency-with-dalit-girl-in-rajasthan/
"बिहार के वैशाली जिले में 20 वर्षीय दलित लड़की की सामूहिक बलात्कार के बाद की हत्या, नदी में तैरता मिला शव",Shabnam,"दिसम्बर 26, 2021",बिहार के वैशाली जिले में 20 दिसंबर को कथित तौर पर गाँव के ठाकुर और उसके लोग एक 20 वर्षीय दलित लड़की को जबरन बंदूक […],https://dalittimes.in/20-year-old-dalit-girl-gang-raped-and-murdered-in-bihars/
"राजधानी दिल्ली में इंसानियत हुई शर्मसार, शादी समारोह में 6 साल की मासूम बच्ची के साथ दुष्कर्म का मामला आया सामने",Shabnam,"दिसम्बर 22, 2021","राजधानी दिल्ली के रंजीत नगर इलाके में एक बार फिर से इंसानियत को शर्मशार कर देने वाला मामला सामने आया है, माता-पिता के साथ रंजीत […]",https://dalittimes.in/humanity-was-shamed-in-the-capital-delhi-a-case-of-rape-of-a-6-year-old/
कर्नाटक में मंदिर के सामने से गुजरने पर दलित युवक को पीट-पीट कर किया अधमरा,Shabnam,"दिसम्बर 16, 2021",कर्नाटक में अन्नूर होशाहल्ली गाँव एक चौंकाने वाली घटना सामने आई हैं जंहा एक दलित युवक को इसलिए पीटा गया कि वह एक मंदिर के […],https://dalittimes.in/dalit-youth-beaten-to-death-after-passing-in-front-of-temple-in-karnataka/
ग्रेटर नोएडा में 65 साल के दलित बुजुर्ग की दिनदहाड़े हत्या,Shabnam,"दिसम्बर 16, 2021",ग्रेटर नोएडा में खेत में काम कर रहे 65 साल के दलित बुजुर्ग की दिनदहाड़े हत्या के मामले की अम्बेडकरवादी सूरज कुमार बुद्ध ने निंदा […],https://dalittimes.in/a-65-year-old-dalit-elder-was-killed-in-broad-daylight-in-greater-noida/
"बागपत के रोशनगढ़ में हुआ दिल दहलाने वाला कांड,दो बहनों के चेहरे पर डाला तेजाब",Shabnam,"दिसम्बर 14, 2021",उत्तर प्रदेश के बागपत से दिल दहला देने वाली घटना सामने आई है। जंहा दो सगी बहनों पर रात को सोते समय तेज़ाब से हमला […],https://dalittimes.in/roshangarh-baghpat-acid-poured-on-the-face-of-two-sisters/
"लखीमपुर कांड को SIT ने सोची समझी साजिश करार दिया, मुख्य आरोपी आशीष मिश्रा समेत 14 पर चलेगा हत्या का केस",Shabnam,"दिसम्बर 14, 2021",लखीमपुर खीरी हिंसा केस में एसआईटी ने बड़ा खुलासा किया है। एसआईटी के मुताबित किसानों को मारने के मकसद से ही गाड़ी चढ़ाई गई थी। […],https://dalittimes.in/cjm-court-accepts-sits-plea-for-additional-lakhimpur-case/
"बिहार में जातिवाद का घिनौना खेल, चुनाव में हारे मुखिया बलवंत सिंह ने दलित वोटरों से मारपीट कर थूक चटवाया",Shabnam,"दिसम्बर 13, 2021",बिहार में रविवार को समाप्त हुए पंचायत चुनाव के बीच एक प्रत्याशी का खौफनाक चेहरा देखने को मिला है. बता दे कि मामला औरंगाबाद जिले […],https://dalittimes.in/chief-balwant-singh-who-was-defeated-in-the-election-beat-up-the-dalit-voters-and-made-them-spit/
"प्रयागराज हत्याकांड: यूपी पुलिस ने सभी 8 ‘उच्च’ जाति के आरोपियों को किया रिहा ,दलित युवक को भेजा जेल",Shabnam,"नवम्बर 30, 2021",उत्तर प्रदेश पुलिस ने दलित परिवार के चार सदस्यों की हत्या के आरोप में गिरफ्तार किए गए सभी आठ ‘उच्च’ जाति के आरोपियों को रिहा […],https://dalittimes.in/eleven-people-from-an-upper-caste-thakur-family-were-named-in-the-fir-and-charged-under-various-sections-of-the-indian-penal-code-the-sc-st-act-and-the-pocso-act-eight-of-them-had/
"जबलपुर में आरक्षण की मांग को लेकर OBC महासभा आंदोलन में पुलिस ने बरसाई लाठिया , भीमआर्मी चीफ चंद्रशेखर आज़ाद ने कहा, सरकार ने तानाशाही का परिचय दिया है",Shabnam,"नवम्बर 30, 2021",ओबीसी महासभा के बैनर तले 51 प्रतिशत आरक्षण की मांग को लेकर हो रहे आंदोलन में पुलिस ने जमकर लाठियां बरसाई और धरना स्थल […],https://dalittimes.in/backward-class-people-agitating-in-jabalpur-got-police-sticks-instead-of-reservation-under-the-banner-of-obc-mahasabha-the-police-fiercely-lathi-charged-in-the-agitation-demanding-51-percent-reserva/
आजमगढ़ हत्याकांड पर बोले भीम आर्मी चीफ चंद्र शेखर आज़ाद “अंधेर नगरी चौपट राजा”को प्रतिदिन चरितार्थ करती योगी सरकार”,Shabnam,"नवम्बर 29, 2021",प्रयागराज के बाद अब उत्तर प्रदेश के आजमगढ़ जिले में लेखपाल और उसकी पत्नी की डबल मर्डर को लेकर बसपा सुप्रीमो मायावती के बाद भीम […],https://dalittimes.in/yogi-government-is-implementing-andher-nagari-chaupat-raja-every-day-a-dalit-lekhpal-and-his-wife-were-murdered-by-slitting-their-throats-in-azamgarh-this-is-the-second-gruesome-incident-in-a-we/
"प्रयागराज दलित परिवार के हत्याकांड में यूपी पुलिस का दावा, दलित युवक पर लगाया आरोप",Shabnam,"नवम्बर 29, 2021",उत्तर प्रदेश के प्रयागराज में एक दलित परिवार की हत्या के मामले में एक 23 वर्षीय दलित व्यक्ति को गिरफ्तार किया गया है। स्थानीय पुलिस […],https://dalittimes.in/a-23-year-old-dalit-man-has-been-arrested-in-the-case-involving-the-murder-of-a-dalit-family-in-uttar-pradeshs-prayagraj-the-local-police-claim-that-he-carried-out-the-murders-along-with-unidentifi/
"राजस्थान में पुलिस की मौजूदगी में दलित दूल्हे समित बारातियों पर हुआ पथराव,मूकदर्शक बनी पुलिस",Shabnam,"नवम्बर 27, 2021",जयपुर जिले के पावटा कस्बे के जाटाला में गुरुवार रात दलित दूल्हे की बारात पर पुलिस की मौजूदगी में पथराव किया गया जिसमे बारात में […],https://dalittimes.in/jaipur-despite-the-presence-of-the-police-the-case-of-stone-pelting-at-the-wedding-procession-of-a-dalit-groom-has-gained-momentum-in-dhani-jatala-of-kaiori-in-pawta-town-of-jaipur-district-congres/
"प्रयागराज में एक ही दलित परिवार के चार सदस्यों की हत्या,घर में पड़ा मिला शव",Shabnam,"नवम्बर 26, 2021","प्रयागराज के ट्रांस-गंगा क्षेत्र के फाफामऊ थाना अंतर्गत मोहनगंज गोहरी गांव में गुरुवार को एक दलित परिवार के चार सदस्यों के शव, जिनकी अज्ञात बदमाशों […]",https://dalittimes.in/bodies-of-four-members-of-a-dalit-family-who-were-brutally-murdered-by-unidentified-miscreants-apparently-over-a-property-related-dispute-around-two-days-back-were-recovered-from-their-house-in-moha/
